Sequence;MOTU_mPTP
MG449492_B_liederi;21
MG449530_B_liederi;21
MG449575_B_liederi;21
MG449583_B_liederi;21
MG449668_B_liederi;21
MG449685_B_liederi;21
MG449712_B_liederi;21
MG449716_B_liederi;21
MG449744_B_liederi;21
MG449799_B_liederi;21
MG449821_B_liederi;21
MG449841_B_liederi;21
MG449847_B_liederi;21
MG449857_B_liederi;21
MG449875_B_liederi;21
MG449888_B_liederi;21
MG449897_B_liederi;21
MG449969_B_liederi;21
MG449972_B_liederi;21
MG450047_B_liederi;21
MG450050_B_liederi;21
MG450151_B_liederi_AK;21
MG450153_B_liederi;21
MG450170_B_liederi;21
MG450174_B_liederi;21
MG450204_B_liederi;21
MG450208_B_liederi;21
MG450272_B_liederi;21
MG450291_B_liederi;21
MG450294_B_liederi;21
MG450318_B_liederi;21
OP829920_B_liederi;21
OP829953_B_liederi;21
OP830059_B_liederi;21
OP830104_B_liederi;21
OP830155_B_liederi;21
OP830253_B_liederi;21
OP830311_B_liederi;21
DNARA1457N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1630N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1652N21_Bosmina_Canada_BOLD_AEN5581;22
DNARA1682N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1683N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1684N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1811N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1812N21_Bosmina_Canada_BOLD_AEN5568;22
DNARA1820N21_Bosmina_Canada_BOLD_AEN5581;22
LC215477_B_cf_longirostris;22
LC215478_B_cf_longirostris;22
LC215479_B_cf_longirostris;22
LC215480_B_cf_longirostris;22
MW786945_B_fatalis;22
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;23
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;23
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;23
EU702018_B_longirostris;23
EU702019_B_longirostris;23
EU702020_B_longirostris;23
HM883958_B_longirostris;23
HM883961_B_longirostris;23
HM883995_B_longirostris;23
HM883999_B_longirostris;23
MG448688_B_longirostris;23
MG448689_B_longirostris;23
MG448838_B_longirostris;23
MG449713_B_longirostris;23
MG449850_B_longirostris;23
MG449851_B_longirostris;23
MG449952_B_longirostris;23
MG449967_B_longirostris_FREYI2_AK;23
MG449982_B_longirostris;23
MG450021_B_longirostris;23
MG450033_B_longirostris;23
MG450086_B_longirostris;23
MG450147_B_longirostris;23
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;23
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;23
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;23
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;23
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;23
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;23
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;23
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;24
JN290618_Anomopoda_sp_BOLD_AAV0686;24
JN290619_Anomopoda_sp_BOLD_AAV0686;24
JN290620_Anomopoda_sp_BOLD_AAV0686;24
JN290621_Anomopoda_sp_BOLD_AAV0686;24
JN290621_Anomopoda_sp_BOLD_AAV06865;24
JN290622_Anomopoda_sp_BOLD_AAV0686;24
KM611608_B_sp_BOLD_AAV0686;24
EU702000_B_sp_BOLD_AAI4722;25
EU702001_B_sp_BOLD_AAI4722;25
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;26
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;26
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;26
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;26
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;26
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;26
