Sequence;MOTU_GMYCm
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;6
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;6
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;6
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;6
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;6
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;6
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;6
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;6
EU702002_B_sp_BOLD_AAI4721;6
GLC040N06_B_liederi_Canada_Great_Lakes;6
HQ966466_B_liederi;6
HQ966467_B_liederi;6
HQ966468_B_liederi;6
HQ966469_B_liederi;6
HQ966470_B_liederi;6
HQ966471_B_liederi;6
JN233822_B_liederi;6
JN233823_B_liederi;6
JN233824_B_liederi;6
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;6
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;6
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;6
KT705731_B_liederi;6
KT706147_B_liederi;6
KT707374_B_liederi;6
KT707760_B_liederi;6
LC215476_B_cf_longirostris;6
LC215477_B_cf_longirostris;6
LC215478_B_cf_longirostris;6
LC215479_B_cf_longirostris;6
LC215480_B_cf_longirostris;6
MG448613_B_liederi;6
MG448631_B_liederi;6
MG448650_B_liederi;6
MG448657_B_liederi;6
MG448707_B_liederi;6
MG448765_B_liederi;6
MG448819_B_liederi;6
MG448897_B_liederi;6
MG448968_B_liederi;6
MG448971_B_liederi;6
MG449046_B_liederi;6
MG449067_B_liederi;6
MG449077_B_liederi;6
MG449102_B_liederi;6
MG449147_B_liederi;6
MG449180_B_liederi;6
MG449184_B_liederi;6
MG449207_B_liederi;6
MG449247_B_liederi;6
MG449253_B_liederi;6
MG449265_B_liederi;6
MG449273_B_liederi;6
MG449280_B_liederi;6
MG449315_B_liederi;6
MG449317_B_liederi;6
MG449340_B_liederi;6
MG449357_B_liederi;6
MG449359_B_liederi;6
MG449386_B_liederi;6
MG449436_B_liederi;6
MG449441_B_liederi;6
MG449478_B_liederi;6
MG449481_B_liederi;6
MG449492_B_liederi;6
MG449530_B_liederi;6
MG449575_B_liederi;6
MG449583_B_liederi;6
MG449668_B_liederi;6
MG449685_B_liederi;6
MG449712_B_liederi;6
MG449716_B_liederi;6
MG449744_B_liederi;6
MG449799_B_liederi;6
MG449821_B_liederi;6
MG449841_B_liederi;6
MG449847_B_liederi;6
MG449857_B_liederi;6
MG449875_B_liederi;6
MG449888_B_liederi;6
MG449897_B_liederi;6
MG449969_B_liederi;6
MG449972_B_liederi;6
MG450047_B_liederi;6
MG450050_B_liederi;6
MG450151_B_liederi_AK;6
MG450153_B_liederi;6
MG450170_B_liederi;6
MG450174_B_liederi;6
MG450204_B_liederi;6
MG450208_B_liederi;6
MG450272_B_liederi;6
MG450291_B_liederi;6
MG450294_B_liederi;6
MG450318_B_liederi;6
MW786945_B_fatalis;6
OP829920_B_liederi;6
OP829953_B_liederi;6
OP830059_B_liederi;6
OP830104_B_liederi;6
OP830155_B_liederi;6
OP830253_B_liederi;6
OP830311_B_liederi;6
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;7
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;7
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;7
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;7
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;7
