Sequence;MOTU_Ward
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;26
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;26
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;26
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;26
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;26
LC215476_B_cf_longirostris;26
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;27
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;27
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;27
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;27
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;27
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;27
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;27
EU702002_B_sp_BOLD_AAI4721;27
GLC040N06_B_liederi_Canada_Great_Lakes;27
HQ966466_B_liederi;27
HQ966467_B_liederi;27
HQ966468_B_liederi;27
HQ966469_B_liederi;27
HQ966470_B_liederi;27
HQ966471_B_liederi;27
JN233822_B_liederi;27
JN233823_B_liederi;27
JN233824_B_liederi;27
MG449147_B_liederi;27
MG449247_B_liederi;27
MG449280_B_liederi;27
MG449317_B_liederi;27
MG449441_B_liederi;27
MG449685_B_liederi;27
MG449744_B_liederi;27
MG449799_B_liederi;27
MG449841_B_liederi;27
MG449847_B_liederi;27
OP829920_B_liederi;27
OP830104_B_liederi;27
OP829953_B_liederi;28
OP830059_B_liederi;28
OP830253_B_liederi;28
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;29
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;29
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;29
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;29
KT705731_B_liederi;29
KT706147_B_liederi;29
KT707374_B_liederi;29
KT707760_B_liederi;29
MG448613_B_liederi;29
MG448631_B_liederi;29
MG448650_B_liederi;29
MG448657_B_liederi;29
MG448707_B_liederi;29
MG448765_B_liederi;29
MG448819_B_liederi;29
MG448897_B_liederi;29
MG448968_B_liederi;29
MG448971_B_liederi;29
MG449046_B_liederi;29
MG449067_B_liederi;29
MG449077_B_liederi;29
MG449102_B_liederi;29
MG449180_B_liederi;29
MG449184_B_liederi;29
MG449207_B_liederi;29
MG449253_B_liederi;29
MG449265_B_liederi;29
MG449273_B_liederi;29
